"Faerdigvacc. dato","regionskode_current","Regionsnavn","Antal faerdigvacc.","regionskode_num"
2021-01-04,1083,Syddanmark,1,1083
2021-01-09,1084,Hovedstaden,1,1084
2021-01-13,1084,Hovedstaden,1,1084
2021-01-15,1084,Hovedstaden,5,1084
2021-01-16,1082,Midtjylland,7,1082
2021-01-16,1085,Sjælland,1,1085
2021-01-17,1081,Nordjylland,1,1081
2021-01-17,1082,Midtjylland,2,1082
2021-01-17,1083,Syddanmark,454,1083
2021-01-17,1084,Hovedstaden,38,1084
2021-01-17,1085,Sjælland,201,1085
2021-01-18,1081,Nordjylland,3,1081
2021-01-18,1082,Midtjylland,165,1082
2021-01-18,1083,Syddanmark,504,1083
2021-01-18,1084,Hovedstaden,136,1084
2021-01-18,1085,Sjælland,1285,1085
2021-01-19,1081,Nordjylland,2,1081
2021-01-19,1082,Midtjylland,9,1082
2021-01-19,1083,Syddanmark,444,1083
2021-01-19,1084,Hovedstaden,166,1084
2021-01-19,1085,Sjælland,1415,1085
2021-01-20,1081,Nordjylland,2,1081
2021-01-20,1082,Midtjylland,99,1082
2021-01-20,1083,Syddanmark,306,1083
2021-01-20,1084,Hovedstaden,125,1084
2021-01-20,1085,Sjælland,1312,1085
2021-01-21,1081,Nordjylland,9,1081
2021-01-21,1082,Midtjylland,577,1082
2021-01-21,1083,Syddanmark,443,1083
2021-01-21,1084,Hovedstaden,115,1084
2021-01-21,1085,Sjælland,1168,1085
2021-01-22,1081,Nordjylland,2468,1081
2021-01-22,1082,Midtjylland,1181,1082
2021-01-22,1083,Syddanmark,1453,1083
2021-01-22,1084,Hovedstaden,75,1084
2021-01-22,1085,Sjælland,450,1085
2021-01-23,1081,Nordjylland,1337,1081
2021-01-23,1082,Midtjylland,1036,1082
2021-01-23,1083,Syddanmark,173,1083
2021-01-23,1084,Hovedstaden,4124,1084
2021-01-23,1085,Sjælland,365,1085
2021-01-24,1081,Nordjylland,628,1081
2021-01-24,1082,Midtjylland,1294,1082
2021-01-24,1083,Syddanmark,217,1083
2021-01-24,1084,Hovedstaden,4002,1084
2021-01-24,1085,Sjælland,274,1085
2021-01-25,1081,Nordjylland,12,1081
2021-01-25,1082,Midtjylland,166,1082
2021-01-25,1083,Syddanmark,1775,1083
2021-01-25,1084,Hovedstaden,245,1084
2021-01-25,1085,Sjælland,263,1085
2021-01-26,1081,Nordjylland,154,1081
2021-01-26,1082,Midtjylland,45,1082
2021-01-26,1083,Syddanmark,954,1083
2021-01-26,1084,Hovedstaden,137,1084
2021-01-26,1085,Sjælland,424,1085
2021-01-27,1081,Nordjylland,223,1081
2021-01-27,1082,Midtjylland,1120,1082
2021-01-27,1083,Syddanmark,1085,1083
2021-01-27,1084,Hovedstaden,632,1084
2021-01-27,1085,Sjælland,1269,1085
2021-01-28,1081,Nordjylland,522,1081
2021-01-28,1082,Midtjylland,1778,1082
2021-01-28,1083,Syddanmark,490,1083
2021-01-28,1084,Hovedstaden,3771,1084
2021-01-28,1085,Sjælland,1529,1085
2021-01-29,1081,Nordjylland,1905,1081
2021-01-29,1082,Midtjylland,3794,1082
2021-01-29,1083,Syddanmark,3025,1083
2021-01-29,1084,Hovedstaden,7550,1084
2021-01-29,1085,Sjælland,1871,1085
2021-01-30,1081,Nordjylland,1828,1081
2021-01-30,1082,Midtjylland,2594,1082
2021-01-30,1083,Syddanmark,2760,1083
2021-01-30,1084,Hovedstaden,4604,1084
2021-01-30,1085,Sjælland,979,1085
2021-01-31,1081,Nordjylland,1577,1081
2021-01-31,1082,Midtjylland,6105,1082
2021-01-31,1083,Syddanmark,1220,1083
2021-01-31,1084,Hovedstaden,2624,1084
2021-01-31,1085,Sjælland,566,1085
2021-02-01,1081,Nordjylland,593,1081
2021-02-01,1082,Midtjylland,1485,1082
2021-02-01,1083,Syddanmark,3097,1083
2021-02-01,1084,Hovedstaden,1889,1084
2021-02-01,1085,Sjælland,755,1085
2021-02-02,1081,Nordjylland,367,1081
2021-02-02,1082,Midtjylland,1001,1082
2021-02-02,1083,Syddanmark,1069,1083
2021-02-02,1084,Hovedstaden,112,1084
2021-02-02,1085,Sjælland,448,1085
2021-02-03,1081,Nordjylland,530,1081
2021-02-03,1082,Midtjylland,1382,1082
2021-02-03,1083,Syddanmark,534,1083
2021-02-03,1084,Hovedstaden,2987,1084
2021-02-03,1085,Sjælland,721,1085
2021-02-04,1081,Nordjylland,299,1081
2021-02-04,1082,Midtjylland,1768,1082
2021-02-04,1083,Syddanmark,745,1083
2021-02-04,1084,Hovedstaden,6496,1084
2021-02-04,1085,Sjælland,1547,1085
2021-02-05,1081,Nordjylland,541,1081
2021-02-05,1082,Midtjylland,2395,1082
2021-02-05,1083,Syddanmark,4461,1083
2021-02-05,1084,Hovedstaden,4886,1084
2021-02-05,1085,Sjælland,1059,1085
2021-02-06,1081,Nordjylland,585,1081
2021-02-06,1082,Midtjylland,486,1082
2021-02-06,1083,Syddanmark,2366,1083
2021-02-06,1084,Hovedstaden,3027,1084
2021-02-06,1085,Sjælland,284,1085
2021-02-07,1081,Nordjylland,1214,1081
2021-02-07,1082,Midtjylland,75,1082
2021-02-07,1083,Syddanmark,1556,1083
2021-02-07,1084,Hovedstaden,570,1084
2021-02-07,1085,Sjælland,208,1085
2021-02-08,1081,Nordjylland,1368,1081
2021-02-08,1082,Midtjylland,2658,1082
2021-02-08,1083,Syddanmark,1696,1083
2021-02-08,1084,Hovedstaden,1136,1084
2021-02-08,1085,Sjælland,147,1085
2021-02-09,1081,Nordjylland,1090,1081
2021-02-09,1082,Midtjylland,2617,1082
2021-02-09,1083,Syddanmark,1064,1083
2021-02-09,1084,Hovedstaden,31,1084
2021-02-09,1085,Sjælland,60,1085
2021-02-10,1081,Nordjylland,707,1081
2021-02-10,1082,Midtjylland,1885,1082
2021-02-10,1083,Syddanmark,95,1083
2021-02-10,1084,Hovedstaden,937,1084
2021-02-10,1085,Sjælland,270,1085
2021-02-11,1081,Nordjylland,245,1081
2021-02-11,1082,Midtjylland,1592,1082
2021-02-11,1083,Syddanmark,148,1083
2021-02-11,1084,Hovedstaden,240,1084
2021-02-11,1085,Sjælland,230,1085
2021-02-12,1081,Nordjylland,91,1081
2021-02-12,1082,Midtjylland,1008,1082
2021-02-12,1083,Syddanmark,1716,1083
2021-02-12,1084,Hovedstaden,4167,1084
2021-02-12,1085,Sjælland,637,1085
2021-02-13,1082,Midtjylland,37,1082
2021-02-13,1083,Syddanmark,867,1083
2021-02-13,1084,Hovedstaden,6,1084
2021-02-13,1085,Sjælland,57,1085
2021-02-14,1081,Nordjylland,1,1081
2021-02-14,1082,Midtjylland,27,1082
2021-02-14,1083,Syddanmark,557,1083
2021-02-14,1084,Hovedstaden,11,1084
2021-02-14,1085,Sjælland,28,1085
2021-02-15,1081,Nordjylland,33,1081
2021-02-15,1082,Midtjylland,470,1082
2021-02-15,1083,Syddanmark,1065,1083
2021-02-15,1084,Hovedstaden,1377,1084
2021-02-15,1085,Sjælland,188,1085
2021-02-16,1081,Nordjylland,23,1081
2021-02-16,1082,Midtjylland,233,1082
2021-02-16,1083,Syddanmark,559,1083
2021-02-16,1084,Hovedstaden,412,1084
2021-02-16,1085,Sjælland,108,1085
2021-02-17,1081,Nordjylland,15,1081
2021-02-17,1082,Midtjylland,117,1082
2021-02-17,1083,Syddanmark,212,1083
2021-02-17,1084,Hovedstaden,31,1084
2021-02-17,1085,Sjælland,52,1085
2021-02-18,1081,Nordjylland,35,1081
2021-02-18,1082,Midtjylland,70,1082
2021-02-18,1083,Syddanmark,40,1083
2021-02-18,1084,Hovedstaden,72,1084
2021-02-18,1085,Sjælland,92,1085
2021-02-19,1081,Nordjylland,180,1081
2021-02-19,1082,Midtjylland,110,1082
2021-02-19,1083,Syddanmark,87,1083
2021-02-19,1084,Hovedstaden,50,1084
2021-02-19,1085,Sjælland,543,1085
2021-02-20,1081,Nordjylland,141,1081
2021-02-20,1082,Midtjylland,3,1082
2021-02-20,1083,Syddanmark,63,1083
2021-02-20,1084,Hovedstaden,100,1084
2021-02-20,1085,Sjælland,276,1085
2021-02-21,1081,Nordjylland,23,1081
2021-02-21,1082,Midtjylland,43,1082
2021-02-21,1083,Syddanmark,33,1083
2021-02-21,1084,Hovedstaden,105,1084
2021-02-21,1085,Sjælland,158,1085
2021-02-22,1081,Nordjylland,26,1081
2021-02-22,1082,Midtjylland,364,1082
2021-02-22,1083,Syddanmark,184,1083
2021-02-22,1084,Hovedstaden,145,1084
2021-02-22,1085,Sjælland,386,1085
2021-02-23,1081,Nordjylland,23,1081
2021-02-23,1082,Midtjylland,275,1082
2021-02-23,1083,Syddanmark,359,1083
2021-02-23,1084,Hovedstaden,152,1084
2021-02-23,1085,Sjælland,1132,1085
2021-02-24,1081,Nordjylland,8,1081
2021-02-24,1082,Midtjylland,223,1082
2021-02-24,1083,Syddanmark,599,1083
2021-02-24,1084,Hovedstaden,65,1084
2021-02-24,1085,Sjælland,1063,1085
2021-02-25,1081,Nordjylland,17,1081
2021-02-25,1082,Midtjylland,159,1082
2021-02-25,1083,Syddanmark,324,1083
2021-02-25,1084,Hovedstaden,32,1084
2021-02-25,1085,Sjælland,106,1085
2021-02-26,1081,Nordjylland,48,1081
2021-02-26,1082,Midtjylland,389,1082
2021-02-26,1083,Syddanmark,304,1083
2021-02-26,1084,Hovedstaden,61,1084
2021-02-26,1085,Sjælland,207,1085
